chr7,157735179,157735181,cg04670922
chr7,157830425,157830427,cg06000610
chr7,157961907,157961909,cg18311871
chr7,157961955,157961957,cg16609021
chr7,157962053,157962055,cg11072645
chr7,157972986,157972988,cg06017659
chr7,157981032,157981034,cg05690580
chr7,158138639,158138641,cg25823996
chr7,158163349,158163351,cg21839449
chr7,158163357,158163359,cg23602909
chr7,158163423,158163425,cg08955548
chr7,158163468,158163470,cg04622731
chr7,158253303,158253305,cg16571642
chr7,158253332,158253334,cg06715136
chr7,158253473,158253475,cg02770061
chr7,158253529,158253531,cg06400119
chr7,158253665,158253667,cg10473311
chr7,158257463,158257465,cg08628777
chr7,158277081,158277083,cg25934673
chr7,158277250,158277252,cg15286032
chr7,158321444,158321446,cg06219351
chr7,158341827,158341829,cg09649198
chr7,158406427,158406429,cg18371428
chr7,158472222,158472224,cg26389638
chr7,158472242,158472244,cg08452870
chr7,158474709,158474711,cg23808337
chr7,158474896,158474898,cg09220440